Donchian,Trail,Risk%,リターン%,PF,最大DD%,取引数,勝率%,DD停止
15,2.5,1.0,311.2,1.32,35.1,591,39.3,True
15,2.5,2.0,178.4,1.34,35.3,231,37.2,True
15,2.5,3.0,136.3,1.45,36.1,93,33.3,True
15,3.0,1.0,409.6,1.35,35.1,547,38.6,True
15,3.0,2.0,2745.1,1.62,35.0,361,41.6,True
15,3.0,3.0,102.2,1.35,35.8,92,33.7,True
15,4.0,1.0,619.7,1.65,35.1,369,37.4,True
15,4.0,2.0,4021.7,2.1,35.2,281,40.2,True
15,4.0,3.0,34.9,1.4,35.4,33,27.3,True
20,2.5,1.0,277.8,1.3,35.3,574,39.4,True
20,2.5,2.0,199.5,1.39,35.3,205,38.0,True
20,2.5,3.0,135.5,1.47,35.7,82,35.4,True
20,3.0,1.0,350.0,1.34,35.2,515,39.0,True
20,3.0,2.0,2180.5,1.61,36.1,329,42.9,True
20,3.0,3.0,8481.5,1.6,35.8,314,43.9,True
20,4.0,1.0,11794.4,1.7,32.8,1081,37.9,False
20,4.0,2.0,4181.3,1.67,35.2,310,40.6,True
20,4.0,3.0,48.7,1.56,35.2,30,30.0,True
30,2.5,1.0,214.5,1.31,35.0,522,39.1,True
30,2.5,2.0,126.7,1.32,35.5,190,35.8,True
30,2.5,3.0,73.0,1.3,35.1,77,29.9,True
30,3.0,1.0,283.0,1.33,35.2,502,38.2,True
30,3.0,2.0,1555.6,1.67,36.5,303,41.6,True
30,3.0,3.0,68.4,1.33,35.1,65,29.2,True
30,4.0,1.0,8596.3,1.71,31.2,995,37.8,False
30,4.0,2.0,124.2,1.39,36.5,130,33.8,True
30,4.0,3.0,59.6,1.43,35.5,45,35.6,True
