Donchian,Trail,Risk%,リターン%,PF,最大DD%,取引数,勝率%,DD停止
15,2.5,1.0,-16.3,0.6,21.3,98,29.6,False
15,2.5,2.0,-24.6,0.32,30.1,36,27.8,True
15,2.5,3.0,-21.9,0.35,30.2,22,31.8,True
15,3.0,1.0,6.8,1.16,17.6,86,32.6,False
15,3.0,2.0,-21.7,0.46,31.0,35,22.9,True
15,3.0,3.0,-15.8,0.6,30.1,23,26.1,True
15,4.0,1.0,10.0,1.22,19.7,83,28.9,False
15,4.0,2.0,-23.7,0.37,31.7,33,21.2,True
15,4.0,3.0,-19.8,0.49,31.5,23,30.4,True
20,2.5,1.0,-15.7,0.58,20.0,87,27.6,False
20,2.5,2.0,-29.9,0.15,30.2,34,17.6,True
20,2.5,3.0,-30.3,0.08,30.9,20,20.0,True
20,3.0,1.0,3.1,1.08,15.4,77,32.5,False
20,3.0,2.0,0.5,1.01,29.7,77,32.5,False
20,3.0,3.0,-28.7,0.33,32.2,25,20.0,True
20,4.0,1.0,8.2,1.2,16.9,73,28.8,False
20,4.0,2.0,-27.8,0.23,30.5,32,18.8,True
20,4.0,3.0,-26.7,0.3,30.6,23,21.7,True
30,2.5,1.0,-15.2,0.57,18.1,78,26.9,False
30,2.5,2.0,-29.9,0.26,30.3,41,22.0,True
30,2.5,3.0,-29.9,0.08,30.5,18,16.7,True
30,3.0,1.0,-4.1,0.89,16.4,74,29.7,False
30,3.0,2.0,-29.8,0.1,30.2,28,10.7,True
30,3.0,3.0,-29.8,0.04,30.3,17,5.9,True
30,4.0,1.0,-1.0,0.98,18.3,71,25.4,False
30,4.0,2.0,-29.8,0.08,30.1,27,11.1,True
30,4.0,3.0,-29.5,0.03,30.0,15,6.7,True
