buf,sl,tpR,LO,リターン%,PF,DD%,取引,勝率%,シャープ
0.0,range,3.0,1,17.4,1.16,15.7,218,45.4,0.87
0.1,range,2.0,1,14.7,1.16,9.8,203,46.3,0.88
0.0,range,3.0,0,22.9,1.15,16.9,299,45.2,0.98
0.2,range,2.0,1,11.6,1.14,7.7,196,45.9,0.76
0.0,range,0.0,1,13.4,1.12,18.7,218,45.0,0.69
0.0,range,2.0,1,12.1,1.12,10.9,218,46.8,0.7
0.0,range,1.5,0,15.8,1.12,11.5,299,49.2,0.85
0.0,range,0.0,0,13.1,1.09,18.5,299,44.5,0.62
0.1,range,3.0,1,8.2,1.09,17.2,203,44.3,0.51
0.0,range,2.0,0,11.0,1.08,14.1,299,46.2,0.59
0.1,range,0.0,1,6.0,1.07,19.9,203,43.8,0.39
0.1,range,2.0,0,9.4,1.07,11.9,290,46.6,0.54
0.2,range,2.0,0,6.6,1.06,12.9,281,45.2,0.42
0.1,range,0.0,0,6.2,1.05,18.9,290,44.8,0.36
0.1,range,1.5,1,3.2,1.04,11.0,203,46.8,0.27
0.2,range,3.0,1,3.1,1.04,14.7,196,43.9,0.25
0.0,range,1.5,1,3.1,1.03,12.4,218,48.2,0.26
0.2,range,1.5,1,2.2,1.03,9.9,196,46.4,0.21
0.1,range,1.5,0,3.9,1.03,13.9,290,47.6,0.29
0.1,range,3.0,0,4.0,1.03,18.3,290,44.8,0.27
0.2,range,0.0,1,0.3,1.0,17.8,196,43.4,0.09
0.0,half,1.5,0,-0.0,1.0,22.2,299,42.8,0.09
0.2,range,0.0,0,-1.2,0.99,18.3,281,43.4,0.02
0.0,half,2.0,0,-3.1,0.98,25.3,299,37.5,-0.02
0.2,half,0.0,0,-5.6,0.97,25.6,281,34.9,-0.08
0.2,range,3.0,0,-3.4,0.97,17.6,281,43.4,-0.1
0.2,half,3.0,0,-5.5,0.96,20.5,281,35.9,-0.11
0.2,range,1.5,0,-5.3,0.95,16.0,281,45.6,-0.26
0.1,half,1.5,0,-8.2,0.95,26.9,290,43.1,-0.31
0.2,half,3.0,1,-8.9,0.92,20.9,196,35.7,-0.34
0.1,half,2.0,0,-13.3,0.92,24.8,290,38.6,-0.5
0.0,half,3.0,0,-18.3,0.9,29.9,299,31.1,-0.58
0.1,half,3.0,0,-15.8,0.9,29.0,290,34.1,-0.52
0.2,half,2.0,0,-15.9,0.89,23.4,281,38.4,-0.68
0.2,half,1.5,0,-16.9,0.88,20.5,281,42.0,-0.84
0.0,half,2.0,1,-18.4,0.86,27.8,218,35.3,-0.84
0.1,half,1.5,1,-17.7,0.83,27.4,203,40.9,-1.0
0.2,half,1.5,1,-18.0,0.82,20.9,196,40.8,-1.09
0.0,half,1.5,1,-20.5,0.82,30.1,187,38.5,-1.19
0.1,half,2.0,1,-21.4,0.81,26.9,203,36.0,-1.12
0.2,half,2.0,1,-21.2,0.79,23.7,196,36.7,-1.21
0.0,half,0.0,0,-21.0,0.76,30.1,122,25.4,-1.03
0.1,half,0.0,0,-21.9,0.74,30.3,119,27.7,-1.2
0.0,half,0.0,1,-19.9,0.67,30.0,71,18.3,-1.2
0.2,half,0.0,1,-22.4,0.63,30.0,90,26.7,-1.68
0.1,half,0.0,1,-22.5,0.59,30.2,67,20.9,-1.64
0.0,half,3.0,1,-29.0,0.58,30.1,93,20.4,-2.06
0.1,half,3.0,1,-28.6,0.57,30.0,94,23.4,-2.09
