direction,lots,entry,exit,entry_time,exit_time,pnl,reason
1,0.12,1296.78,1271.8285714285714,2016-11-03,2016-11-09,-300.2571428571426,SL
-1,0.08,1141.12,1161.6128571428574,2016-12-15,2016-12-30,-164.5028571428598,SL
-1,0.11,1215.11,1232.1371428571433,2017-03-08,2017-03-16,-188.0685714285776,SL
-1,0.11,1200.35,1225.067142857143,2017-03-10,2017-03-16,-272.65857142857317,SL
1,0.11,1290.58,1265.9171428571428,2017-04-17,2017-04-24,-272.061428571428,SL
1,0.11,1274.32,1258.9428571428573,2017-04-12,2017-05-01,-169.9185714285691,SL
1,0.1,1294.23,1270.0385714285715,2017-06-07,2017-06-09,-242.61428571428561,SL
1,0.1,1279.36,1261.2,2017-06-05,2017-06-13,-182.29999999999856,SL
1,0.1,1260.2099999999998,1313.0057142857142,2017-07-27,2017-09-18,527.2571428571443,SL
1,0.1,1277.3799999999999,1313.0057142857142,2017-08-10,2017-09-18,355.5571428571437,SL
1,0.1,1291.3,1313.0057142857142,2017-08-22,2017-09-18,216.35714285714295,SL
1,0.14,1309.8999999999999,1325.8057142857142,2018-01-02,2018-02-06,221.7000000000008,SL
1,0.13,1322.86,1325.8057142857142,2018-01-05,2018-02-06,37.38428571428594,SL
1,0.11,1336.78,1325.8057142857142,2018-01-15,2018-02-06,-121.48714285714347,SL
-1,0.13,1266.65,1198.652142857143,2018-06-22,2018-08-22,883.0621428571427,SL
-1,0.14,1252.15,1198.652142857143,2018-06-28,2018-08-22,747.9899999999999,SL
-1,0.13,1240.33,1198.652142857143,2018-07-17,2018-08-22,540.9021428571406,SL
-1,0.15,1182.59,1205.9257142857143,2018-09-28,2018-10-02,-351.08571428571605,SL
-1,0.13,1209.52,1228.77,2018-11-12,2018-11-22,-251.16,SL
1,0.17,1340.56,1320.0485714285712,2019-02-20,2019-02-27,-349.88428571428835,SL
1,0.16,1303.1799999999998,1315.7164285714284,2019-01-28,2019-02-28,199.4628571428574,SL
1,0.17,1319.9499999999998,1315.7164285714284,2019-01-31,2019-02-28,-73.16071428571372,SL
1,0.1,1360.4499999999998,1382.6785714285716,2019-06-20,2019-07-01,221.58571428571742,SL
1,0.09,1386.78,1382.6785714285716,2019-06-21,2019-07-01,-37.54285714285573,SL
1,0.09,1419.83,1383.23,2019-06-25,2019-07-01,-330.0299999999992,SL
1,0.06,1447.08,1493.0714285714287,2019-07-19,2019-09-10,275.52857142857243,SL
1,0.07,1474.6799999999998,1493.0714285714287,2019-08-07,2019-09-10,128.25000000000182,SL
1,0.07,1500.9299999999998,1493.0714285714287,2019-08-08,2019-09-10,-55.49999999999819,SL
1,0.13,1511.23,1556.52,2019-12-27,2020-01-09,587.8599999999996,SL(ギャップ)
1,0.15,1529.1499999999999,1556.52,2020-01-03,2020-01-09,409.50000000000176,SL(ギャップ)
1,0.16,1560.34,1556.52,2020-01-06,2020-01-09,-62.239999999998986,SL(ギャップ)
1,0.11,1601.73,1637.9664285714284,2020-02-19,2020-02-25,397.8307142857125,SL
1,0.11,1620.1999999999998,1637.9664285714284,2020-02-21,2020-02-25,194.66071428571465,SL
1,0.11,1642.82,1637.9664285714284,2020-02-24,2020-02-25,-54.15928571428664,SL
1,0.1,1659.04,1632.8921428571427,2020-02-25,2020-02-26,-262.1785714285722,SL
1,0.04,1667.1899999999998,1695.3442857142854,2020-04-13,2020-05-27,112.33714285714244,SL
1,0.04,1710.77,1695.3442857142854,2020-04-14,2020-05-27,-61.982857142858194,SL
1,0.07,1747.6299999999999,1698.0785714285712,2020-05-21,2020-05-27,-347.3500000000008,SL
1,0.09,1840.02,1958.4235714285712,2020-07-22,2020-08-11,1065.002142857141,SL
1,0.09,1873.8999999999999,1958.4235714285712,2020-07-23,2020-08-11,760.0821428571422,SL
1,0.08,1902.48,1958.4235714285712,2020-07-27,2020-08-11,446.9885714285696,SL
1,0.07,1885.6,1877.852857142857,2020-12-18,2021-01-08,-54.72000000000094,SL
-1,0.06,1697.22,1740.3778571428575,2021-03-05,2021-04-06,-259.3671428571446,SL
1,0.08,1898.9399999999998,1853.9585714285713,2021-05-26,2021-06-14,-360.4114285714282,SL
-1,0.08,1734.17,1781.9914285714287,2021-09-29,2021-10-13,-383.13142857142935,SL
1,0.08,1909.11,1889.12,2022-02-22,2022-02-25,-160.48000000000008,SL
1,0.04,2051.6,1970.7685714285712,2022-03-09,2022-03-10,-323.6057142857146,SL
1,0.05,1997.07,1949.2278571428571,2022-03-08,2022-03-15,-239.56071428571397,SL
-1,0.08,1725.61,1748.6792857142857,2022-07-13,2022-07-28,-185.11428571428638,SL
