direction,lots,entry,exit,entry_time,exit_time,pnl,reason
-1,0.16,1659.55,1677.4642857142858,2022-09-16 13:00:00,2022-09-16 17:00:00,-287.7485714285732,SL
-1,0.1,1644.67,1645.9807142857144,2022-09-23 17:00:00,2022-09-28 13:00:00,-13.807142857143116,SL
-1,0.13,1623.16,1645.574285714286,2022-09-28 09:00:00,2022-09-28 13:00:00,-292.29571428571575,SL
-1,0.13,1616.54,1649.6399999999999,2022-09-28 13:00:00,2022-09-28 17:00:00,-431.20999999999884,SL(ギャップ)
-1,0.12,1648.6,1671.6899999999998,2022-10-13 17:00:00,2022-10-13 21:00:00,-277.919999999999,SL(ギャップ)
-1,0.15,1685.76,1645.6964285714287,2022-10-10 09:00:00,2022-10-20 17:00:00,599.9035714285699,SL
-1,0.15,1666.27,1645.6964285714287,2022-10-11 09:00:00,2022-10-20 17:00:00,307.5535714285697,SL
-1,0.11,1653.87,1645.6964285714287,2022-10-14 13:00:00,2022-10-20 17:00:00,89.13928571428345,SL
-1,0.17,1621.17,1637.7900000000002,2022-10-21 09:00:00,2022-10-21 13:00:00,-283.730000000002,SL
1,0.11,1744.26,1757.7885714285712,2022-11-10 17:00:00,2022-11-17 13:00:00,148.04428571428363,SL
1,0.12,1758.36,1757.7885714285712,2022-11-11 09:00:00,2022-11-17 13:00:00,-7.6971428571440255,SL
1,0.15,1770.29,1757.7885714285712,2022-11-15 09:00:00,2022-11-17 13:00:00,-188.57142857143097,SL
1,0.13,1801.78,1780.402857142857,2022-12-01 17:00:00,2022-12-02 13:00:00,-278.81285714285735,SL
1,0.13,1822.4399999999998,1801.8128571428567,2022-12-13 17:00:00,2022-12-14 21:00:00,-269.0628571428603,SL
1,0.16,1842.1899999999998,1832.6721428571427,2023-01-03 09:00:00,2023-01-05 13:00:00,-153.40571428571377,SL
1,0.12,1858.99,1837.1171428571427,2023-01-04 13:00:00,2023-01-05 13:00:00,-263.31428571428825,SL
1,0.16,1885.0,1869.4657142857143,2023-01-11 13:00:00,2023-01-11 17:00:00,-249.66857142857148,SL
1,0.11,1906.3,1903.0785714285714,2023-01-13 13:00:00,2023-01-18 01:00:00,-36.20571428571386,SL
1,0.12,1939.78,1920.08,2023-01-24 09:00:00,2023-01-24 17:00:00,-237.24000000000052,SL
-1,0.12,1824.19,1843.3500000000001,2023-02-17 09:00:00,2023-02-17 17:00:00,-230.76000000000099,SL
-1,0.11,1835.34,1846.8400000000001,2023-02-15 13:00:00,2023-02-20 09:00:00,-127.2700000000025,SL
-1,0.16,1807.87,1821.9714285714285,2023-02-27 09:00:00,2023-02-28 17:00:00,-226.74285714285827,SL
1,0.07,1926.34,1964.4635714285714,2023-03-15 16:00:00,2023-03-21 08:00:00,266.37500000000045,SL
1,0.07,1951.8799999999999,1964.4635714285714,2023-03-17 16:00:00,2023-03-21 08:00:00,87.59500000000072,SL
1,0.07,1973.05,1964.4635714285714,2023-03-17 20:00:00,2023-03-21 08:00:00,-60.5949999999998,SL
1,0.1,2030.04,2009.1442857142856,2023-04-05 17:00:00,2023-04-06 05:00:00,-209.6571428571435,SL
1,0.1,2046.6999999999998,2025.1671428571426,2023-04-13 17:00:00,2023-04-14 13:00:00,-216.0285714285721,SL
-1,0.1,1946.65,1952.74,2023-05-25 17:00:00,2023-05-30 13:00:00,-61.59999999999919,最大DD停止
-1,0.14,1933.11,1952.74,2023-05-30 09:00:00,2023-05-30 13:00:00,-275.8000000000016,最大DD停止
