direction,lots,entry,exit,entry_time,exit_time,pnl,reason
1,0.06,1296.78,1271.8285714285714,2016-11-03,2016-11-09,-150.1285714285713,SL
-1,0.04,1141.12,1174.5471428571432,2016-12-15,2017-01-05,-133.98857142857312,SL
-1,0.05,1200.35,1225.067142857143,2017-03-10,2017-03-16,-123.9357142857151,SL
-1,0.06,1215.11,1239.5157142857145,2017-03-08,2017-03-21,-146.85428571428736,SL
1,0.05,1290.58,1265.9171428571428,2017-04-17,2017-04-24,-123.66428571428546,SL
1,0.05,1274.32,1249.6699999999998,2017-04-12,2017-05-03,-123.60000000000045,SL
1,0.05,1294.23,1270.0385714285715,2017-06-07,2017-06-09,-121.30714285714281,SL
1,0.05,1279.36,1253.6399999999999,2017-06-05,2017-06-15,-128.95000000000013,SL
1,0.05,1260.2099999999998,1298.2542857142857,2017-07-27,2017-09-20,189.87142857142968,SL
1,0.05,1277.3799999999999,1298.2542857142857,2017-08-10,2017-09-20,104.02142857142933,SL
1,0.07,1309.8999999999999,1312.5271428571427,2018-01-02,2018-02-07,17.9000000000001,SL
1,0.06,1322.86,1312.5271428571427,2018-01-05,2018-02-07,-62.417142857142984,SL
-1,0.06,1266.65,1209.4657142857143,2018-06-22,2018-08-27,342.6857142857148,SL
-1,0.06,1252.15,1209.4657142857143,2018-06-28,2018-08-27,255.68571428571485,SL
-1,0.06,1182.59,1205.9257142857143,2018-09-28,2018-10-02,-140.4342857142864,SL
-1,0.05,1209.52,1234.2242857142858,2018-11-12,2018-12-03,-123.87142857142895,SL
1,0.07,1303.1799999999998,1305.4685714285713,2019-01-28,2019-03-01,15.530000000000213,SL
1,0.07,1319.9499999999998,1305.4685714285713,2019-01-31,2019-03-01,-101.85999999999967,SL
1,0.04,1360.4499999999998,1474.0042857142855,2019-06-20,2019-09-30,453.9371428571428,SL
1,0.04,1386.78,1474.0042857142855,2019-06-21,2019-09-30,348.6171428571422,SL
1,0.06,1511.23,1542.3971428571429,2019-12-27,2020-01-09,186.58285714285702,SL
1,0.07,1529.1499999999999,1542.3971428571429,2020-01-03,2020-01-09,92.24000000000093,SL
1,0.05,1601.73,1620.9485714285713,2020-02-19,2020-02-28,95.74285714285648,SL
1,0.05,1620.1999999999998,1620.9485714285713,2020-02-21,2020-02-28,3.3928571428574745,SL
1,0.01,1667.1899999999998,1677.0814285714284,2020-04-13,2020-06-05,9.821428571428605,SL
1,0.01,1710.77,1677.0814285714284,2020-04-14,2020-06-05,-33.75857142857155,SL
1,0.04,1840.02,1921.4014285714284,2020-07-22,2020-08-11,325.2457142857136,SL
1,0.04,1873.8999999999999,1921.4014285714284,2020-07-23,2020-08-11,189.72571428571402,SL
1,0.02,1885.6,1852.4785714285713,2020-12-18,2021-01-08,-66.38285714285725,SL
-1,0.02,1697.22,1761.264285714286,2021-03-05,2021-04-15,-128.22857142857185,SL
1,0.03,1898.9399999999998,1850.428571428571,2021-05-26,2021-06-14,-145.74428571428618,SL
-1,0.03,1734.17,1781.9914285714287,2021-09-29,2021-10-13,-143.67428571428601,SL
1,0.03,1909.11,1908.8871428571429,2022-02-22,2022-03-15,-0.8785714285711128,SL
1,0.02,1942.87,1908.8871428571429,2022-03-02,2022-03-15,-68.10571428571406,SL
-1,0.03,1696.21,1744.71,2022-07-21,2022-07-28,-145.70999999999998,SL
-1,0.03,1725.61,1769.0742857142857,2022-07-13,2022-08-01,-130.60285714285735,SL
-1,0.03,1710.96,1725.8,2022-09-01,2022-10-04,-44.729999999999755,SL
-1,0.03,1664.63,1711.1714285714288,2022-09-16,2022-10-04,-139.8342857142861,SL
1,0.03,1854.57,1854.8500000000001,2023-01-05,2023-02-10,0.6300000000006002,SL
1,0.03,1896.23,1854.8500000000001,2023-01-13,2023-02-10,-124.34999999999964,SL
1,0.03,1913.8,1964.178571428571,2023-03-14,2023-05-18,150.92571428571344,SL
1,0.02,1984.84,1964.178571428571,2023-03-20,2023-05-18,-41.46285714285763,SL
1,0.03,1978.6899999999998,1939.9099999999999,2023-07-19,2023-08-02,-116.5499999999999,SL
1,0.02,2003.55,1949.1599999999999,2023-10-30,2023-11-08,-108.92000000000021,SL
1,0.02,1962.7199999999998,2028.6985714285713,2023-10-23,2023-12-05,131.81714285714304,SL
1,0.03,1998.7199999999998,2028.6985714285713,2023-11-22,2023-12-05,89.72571428571455,SL
1,0.03,2114.46,2313.2571428571428,2024-03-05,2024-06-07,596.1814285714281,SL
1,0.03,2148.47,2313.2571428571428,2024-03-07,2024-06-07,494.1514285714289,SL
1,0.02,2468.0699999999997,2405.175714285714,2024-07-17,2024-07-19,-125.92857142857123,SL
1,0.02,2672.33,2609.3428571428567,2024-09-27,2024-10-08,-126.11428571428647,SL
1,0.02,2627.83,2672.405714285714,2024-09-24,2024-11-06,89.01142857142837,SL
1,0.02,2662.87,2672.405714285714,2024-10-16,2024-11-06,18.93142857142844,SL
1,0.02,2770.02,3143.98,2025-01-27,2025-04-01,747.7800000000001,テスト終了
1,0.02,2814.14,3143.98,2025-02-04,2025-04-01,659.5400000000003,テスト終了
