direction,lots,entry,exit,entry_time,exit_time,pnl,reason
-1,0.23,1946.83,1953.4071428571428,2023-08-01 16:00:00,2023-08-01 17:00:00,-152.8842857142871,SL
-1,0.28,1953.48,1953.1742857142858,2023-08-01 15:00:00,2023-08-02 13:00:00,6.599999999997672,SL
-1,0.21,1948.73,1953.1742857142858,2023-08-01 17:00:00,2023-08-02 13:00:00,-94.80000000000175,SL
-1,0.2,1925.2,1932.4157142857143,2023-08-08 16:00:00,2023-08-09 08:00:00,-145.71428571428572,SL
-1,0.19,1917.01,1922.6885714285713,2023-08-09 18:00:00,2023-08-10 13:00:00,-109.2228571428553,SL
-1,0.2,1889.33,1893.73,2023-08-17 19:00:00,2023-08-18 13:00:00,-89.40000000000182,SL
1,0.22,1921.1599999999999,1914.5971428571424,2023-08-24 07:00:00,2023-08-24 15:00:00,-145.92285714286302,SL
1,0.19,1934.4099999999999,1941.6399999999999,2023-08-29 18:00:00,2023-08-31 16:00:00,136.04000000000033,SL
1,0.45,1936.7099999999998,1941.6399999999999,2023-08-30 11:00:00,2023-08-31 16:00:00,218.70000000000286,SL
1,0.28,1950.29,1943.59,2023-09-01 16:00:00,2023-09-01 17:00:00,-189.5600000000013,SL(ギャップ)
-1,0.27,1909.57,1914.8771428571429,2023-09-12 16:00:00,2023-09-12 17:00:00,-145.18285714285926,SL
-1,0.25,1904.27,1909.957142857143,2023-09-14 16:00:00,2023-09-14 17:00:00,-143.9285714285761,SL
1,0.41000000000000003,1934.6599999999999,1931.2014285714283,2023-09-19 11:00:00,2023-09-19 17:00:00,-144.67142857143278,SL
1,0.34,1934.8999999999999,1930.7471428571425,2023-09-19 17:00:00,2023-09-19 19:00:00,-143.5771428571492,SL
1,0.25,1931.26,1929.9757142857143,2023-09-18 20:00:00,2023-09-19 21:00:00,-33.85714285714289,SL
1,0.2,1946.9699999999998,1940.4457142857138,2023-09-20 20:00:00,2023-09-20 21:00:00,-131.88571428571905,SL
-1,0.41000000000000003,1910.38,1913.86,2023-09-26 10:00:00,2023-09-26 11:00:00,-145.54999999999143,SL(ギャップ)
-1,0.19,1902.29,1870.6314285714288,2023-09-26 19:00:00,2023-09-29 09:00:00,600.1828571428513,SL
-1,0.25,1897.56,1870.6314285714288,2023-09-27 08:00:00,2023-09-29 09:00:00,671.4642857142776,SL
-1,0.16,1860.76,1829.4285714285713,2023-09-29 18:00:00,2023-10-03 11:00:00,500.18285714285855,SL
-1,0.15,1854.67,1829.4285714285713,2023-09-29 19:00:00,2023-10-03 11:00:00,377.5714285714311,SL
-1,0.25,1818.95,1825.3457142857144,2023-10-04 10:00:00,2023-10-04 14:00:00,-161.6428571428587,SL
1,0.31,1874.1399999999999,1868.9471428571428,2023-10-11 14:00:00,2023-10-11 15:00:00,-163.148571428569,SL
1,0.32,1868.1599999999999,1873.8799999999999,2023-10-11 11:00:00,2023-10-12 16:00:00,180.80000000000086,SL
