direction,lots,entry,exit,entry_time,exit_time,pnl,reason
-1,0.13,1917.01,1920.5264285714286,2023-08-09 18:00:00,2023-08-10 10:00:00,-46.623571428571864,SL
-1,0.14,1889.33,1893.6321428571428,2023-08-17 19:00:00,2023-08-18 08:00:00,-61.20999999999957,SL
1,0.15,1921.1599999999999,1916.442857142857,2023-08-24 07:00:00,2023-08-24 14:00:00,-71.80714285714184,SL
1,0.13,1934.4099999999999,1943.2892857142856,2023-08-29 18:00:00,2023-08-31 09:00:00,114.52071428571466,SL
-1,0.17,1904.27,1909.957142857143,2023-09-14 16:00:00,2023-09-14 17:00:00,-97.87142857143176,SL
1,0.18,1931.26,1931.6142857142856,2023-09-18 20:00:00,2023-09-19 17:00:00,5.117142857141735,SL
-1,0.31,1910.38,1913.86,2023-09-26 10:00:00,2023-09-26 11:00:00,-110.04999999999352,SL(ギャップ)
-1,0.14,1902.29,1879.8892857142857,2023-09-26 19:00:00,2023-09-28 15:00:00,312.6299999999992,SL
-1,0.17,1872.26,1867.55,2023-09-28 16:00:00,2023-09-29 09:00:00,78.88000000000063,SL(ギャップ)
-1,0.11,1860.76,1825.8714285714286,2023-09-29 18:00:00,2023-10-03 11:00:00,383.00428571428506,SL
-1,0.16,1818.95,1825.3457142857144,2023-10-04 10:00:00,2023-10-04 14:00:00,-103.45142857142956,SL
1,0.22,1870.6999999999998,1866.9357142857143,2023-10-11 13:00:00,2023-10-11 15:00:00,-84.35428571428115,SL
1,0.19,1879.12,1876.4599999999998,2023-10-12 08:00:00,2023-10-12 15:00:00,-51.870000000001546,SL
1,0.19,1883.81,1878.5,2023-10-12 15:00:00,2023-10-12 16:00:00,-102.21999999999896,SL
1,0.19,1887.86,1918.1171428571429,2023-10-13 13:00:00,2023-10-16 08:00:00,573.5557142857166,SL
1,0.12,1944.54,1945.6249999999998,2023-10-18 13:00:00,2023-10-18 17:00:00,12.179999999997708,SL
1,0.09,1957.29,1945.9699999999998,2023-10-18 17:00:00,2023-10-18 18:00:00,-102.51000000000147,SL
1,0.1,1962.23,1979.922857142857,2023-10-19 20:00:00,2023-10-20 20:00:00,176.22857142857066,SL
-1,0.19,1963.79,1966.8564285714285,2023-11-07 14:00:00,2023-11-07 15:00:00,-59.59214285714264,SL
-1,0.16,1958.64,1966.81,2023-11-07 15:00:00,2023-11-07 16:00:00,-131.83999999999753,SL(ギャップ)
-1,0.14,1955.3,1952.8157142857144,2023-11-08 18:00:00,2023-11-09 16:00:00,33.799999999997475,SL
-1,0.14,1940.95,1942.0121428571429,2023-11-10 17:00:00,2023-11-13 18:00:00,-15.849999999999437,SL
-1,0.13,1957.32,1964.0314285714287,2023-11-15 17:00:00,2023-11-16 08:00:00,-88.15857142857399,SL
1,0.13,1985.1599999999999,1984.552857142857,2023-11-16 18:00:00,2023-11-17 15:00:00,-8.802857142857565,SL
1,0.11,1997.9599999999998,1998.7764285714284,2023-11-21 16:00:00,2023-11-22 15:00:00,8.210714285714158,SL
1,0.16,2021.7199999999998,2040.5364285714284,2023-11-28 16:00:00,2023-11-29 11:00:00,299.94285714285695,SL
-1,0.09,1997.08,1989.1257142857144,2023-12-08 20:00:00,2023-12-12 02:00:00,70.95857142857005,SL
1,0.09,2043.35,2031.1057142857142,2023-12-14 17:00:00,2023-12-14 20:00:00,-110.82857142857176,SL
1,0.14,2055.94,2056.2557142857145,2023-12-22 13:00:00,2023-12-22 18:00:00,3.4400000000018918,SL
-1,0.11,2020.57,2013.2992857142858,2024-01-17 08:00:00,2024-01-18 08:00:00,79.20785714285533,SL
-1,0.11,2015.13,2019.4299999999998,2024-01-24 18:00:00,2024-01-25 13:00:00,-48.069999999997,SL(ギャップ)
1,0.15,2038.04,2036.9585714285713,2024-01-30 10:00:00,2024-01-30 17:00:00,-17.271428571429897,SL
1,0.14,2046.73,2032.5,2024-01-30 17:00:00,2024-01-30 18:00:00,-200.20000000000024,SL(ギャップ)
1,0.19,2042.1499999999999,2044.2464285714286,2024-01-31 16:00:00,2024-01-31 21:00:00,38.50214285714644,SL
-1,0.1,1992.12,1993.4307142857142,2024-02-13 18:00:00,2024-02-14 12:00:00,-13.807142857143116,SL
1,0.2,2030.32,2024.9314285714286,2024-02-20 16:00:00,2024-02-20 21:00:00,-109.17142857142737,SL
1,0.15,2047.85,2043.3807142857145,2024-02-29 16:00:00,2024-03-01 07:00:00,-68.0892857142815,SL
1,0.16,2055.0899999999997,2048.47,2024-03-01 13:00:00,2024-03-01 16:00:00,-107.03999999999826,SL
1,0.08,2069.49,2125.275714285714,2024-03-01 18:00:00,2024-03-05 16:00:00,445.7257142857138,SL
1,0.1,2128.13,2123.715714285714,2024-03-05 16:00:00,2024-03-05 17:00:00,-44.84285714286053,SL
1,0.13,2139.64,2134.56,2024-03-06 16:00:00,2024-03-06 17:00:00,-66.94999999999905,SL
1,0.11,2144.92,2149.4835714285714,2024-03-06 17:00:00,2024-03-07 16:00:00,49.429285714284546,SL
1,0.09,2171.33,2171.1664285714287,2024-03-08 16:00:00,2024-03-08 21:00:00,-2.1021428571410796,SL
1,0.12,2171.99,2168.683571428571,2024-03-13 18:00:00,2024-03-14 07:00:00,-40.51714285714282,SL
1,0.1,2212.54,2202.1271428571426,2024-03-28 13:00:00,2024-03-28 15:00:00,-104.8285714285732,SL
1,0.09,2215.88,2243.2335714285714,2024-03-28 15:00:00,2024-04-01 16:00:00,245.55214285714158,SL
1,0.09,2261.2799999999997,2253.7157142857145,2024-04-02 12:00:00,2024-04-02 18:00:00,-68.7085714285671,SL
1,0.07,2294.0299999999997,2290.9364285714287,2024-04-03 20:00:00,2024-04-04 11:00:00,-22.144999999997474,SL
1,0.1,2354.3199999999997,2349.175,2024-04-09 11:00:00,2024-04-09 15:00:00,-52.14999999999528,SL
1,0.06,2400.16,2400.725,2024-04-12 11:00:00,2024-04-12 18:00:00,2.9700000000003275,SL
1,0.05,2426.8399999999997,2395.45,2024-04-12 18:00:00,2024-04-12 19:00:00,-157.29999999999936,SL(ギャップ)
-1,0.1,2312.77,2296.4500000000003,2024-04-30 12:00:00,2024-05-01 14:00:00,162.4999999999971,SL
-1,0.09,2294.35,2304.2650000000003,2024-05-02 16:00:00,2024-05-02 17:00:00,-89.86500000000376,SL
-1,0.08,2291.32,2304.24,2024-05-02 17:00:00,2024-05-02 18:00:00,-103.91999999999695,SL(ギャップ)
1,0.1,2357.22,2361.7949999999996,2024-05-10 09:00:00,2024-05-10 15:00:00,45.04999999999818,SL
1,0.1,2401.8199999999997,2422.8235714285715,2024-05-17 17:00:00,2024-05-20 15:00:00,209.33571428571832,SL
-1,0.1,2337.63,2338.9328571428573,2024-05-29 16:00:00,2024-05-30 13:00:00,-13.728571428571922,SL
1,0.08,2380.4,2370.091428571429,2024-06-07 07:00:00,2024-06-07 11:00:00,-83.0285714285697,SL
-1,0.1,2308.16,2302.6257142857144,2024-06-26 14:00:00,2024-06-27 09:00:00,54.64285714285488,SL
1,0.08,2362.75,2353.434285714286,2024-07-03 18:00:00,2024-07-04 09:00:00,-75.08571428571173,SL
1,0.12,2383.5299999999997,2374.77,2024-07-10 17:00:00,2024-07-10 18:00:00,-105.95999999999715,SL(ギャップ)
