direction,lots,entry,exit,entry_time,exit_time,pnl,reason
1,0.04,1296.78,1271.8285714285714,2016-11-03,2016-11-09,-100.0857142857142,SL
-1,0.02,1141.12,1161.6128571428574,2016-12-15,2016-12-30,-41.12571428571495,SL
1,0.04,1290.58,1265.9171428571428,2017-04-17,2017-04-24,-98.93142857142837,SL
1,0.03,1279.36,1261.2,2017-06-05,2017-06-13,-54.689999999999564,SL
1,0.03,1315.53,1313.0057142857142,2017-08-29,2017-09-18,-7.782857142857174,SL
1,0.04,1322.86,1325.8057142857142,2018-01-05,2018-02-06,11.502857142857211,SL
-1,0.04,1258.89,1198.652142857143,2018-06-27,2018-08-22,240.67142857142858,SL
-1,0.04,1182.59,1205.9257142857143,2018-09-28,2018-10-02,-93.62285714285761,SL
1,0.04,1303.1799999999998,1315.7164285714284,2019-01-28,2019-02-28,49.86571428571435,SL
1,0.03,1360.4499999999998,1382.6785714285716,2019-06-20,2019-07-01,66.47571428571523,SL
1,0.02,1447.08,1493.0714285714287,2019-07-19,2019-09-10,91.84285714285748,SL
1,0.04,1520.8799999999999,1556.52,2020-01-02,2020-01-09,142.2800000000004,SL(ギャップ)
1,0.03,1601.73,1637.9664285714284,2020-02-19,2020-02-25,108.49928571428522,SL
1,0.03,1659.04,1632.8921428571427,2020-02-25,2020-02-26,-78.65357142857165,SL
1,0.02,1873.8999999999999,1958.4235714285712,2020-07-23,2020-08-11,168.90714285714273,SL
-1,0.01,1697.22,1740.3778571428575,2021-03-05,2021-04-06,-43.22785714285744,SL
1,0.02,1898.9399999999998,1853.9585714285713,2021-05-26,2021-06-14,-90.10285714285705,SL
1,0.01,1997.07,1949.2278571428571,2022-03-08,2022-03-15,-47.91214285714279,SL
-1,0.02,1725.61,1748.6792857142857,2022-07-13,2022-07-28,-46.278571428571595,SL
-1,0.02,1664.63,1698.065,2022-09-16,2022-10-03,-67.00999999999989,SL
1,0.02,1854.57,1880.9392857142857,2023-01-05,2023-02-03,52.5985714285715,SL
1,0.02,1913.8,1991.9428571428568,2023-03-14,2023-05-16,156.14571428571378,SL
1,0.02,1978.6899999999998,1939.9099999999999,2023-07-19,2023-08-02,-77.69999999999995,SL
1,0.02,1962.7199999999998,1942.8835714285713,2023-10-23,2023-11-10,-39.812857142857084,SL
1,0.02,2045.09,2029.15,2023-11-30,2023-12-05,-32.019999999999655,SL(ギャップ)
1,0.02,2148.47,2305.03,2024-03-07,2024-04-23,312.9800000000008,SL
1,0.01,2427.23,2356.1242857142856,2024-05-21,2024-05-23,-71.17571428571438,SL
1,0.01,2468.0699999999997,2405.175714285714,2024-07-17,2024-07-19,-62.964285714285616,SL
1,0.01,2672.33,2609.3428571428567,2024-09-27,2024-10-08,-63.05714285714323,SL
1,0.01,2692.7599999999998,2701.7542857142857,2024-10-18,2024-11-06,8.924285714285979,SL
1,0.01,2794.12,2833.225,2025-01-31,2025-02-28,39.03500000000002,SL
1,0.01,3034.12,3143.98,2025-03-19,2025-04-01,109.79000000000015,テスト終了
