direction,lots,entry,exit,entry_time,exit_time,pnl,reason
-1,0.05,1659.55,1677.4642857142858,2022-09-16 13:00:00,2022-09-16 17:00:00,-89.92142857142912,SL
-1,0.05,1685.76,1645.6964285714287,2022-10-10 09:00:00,2022-10-20 17:00:00,199.96785714285664,SL
1,0.03,1744.26,1757.7885714285712,2022-11-10 17:00:00,2022-11-17 13:00:00,40.37571428571372,SL
1,0.04,1858.99,1837.1171428571427,2023-01-04 13:00:00,2023-01-05 13:00:00,-87.77142857142942,SL
1,0.06,1885.0,1869.4657142857143,2023-01-11 13:00:00,2023-01-11 17:00:00,-93.6257142857143,SL
1,0.04,1906.3,1903.0785714285714,2023-01-13 13:00:00,2023-01-18 01:00:00,-13.165714285714131,SL
1,0.05,1939.78,1920.08,2023-01-24 09:00:00,2023-01-24 17:00:00,-98.85000000000022,SL
-1,0.04,1828.67,1846.8400000000001,2023-02-16 17:00:00,2023-02-20 09:00:00,-72.96000000000029,SL
1,0.03,1926.34,1964.4635714285714,2023-03-15 16:00:00,2023-03-21 08:00:00,114.16071428571449,SL
1,0.04,2030.04,2009.1442857142856,2023-04-05 17:00:00,2023-04-06 05:00:00,-83.8628571428574,SL
1,0.06,1971.4099999999999,1966.1764285714285,2023-07-18 17:00:00,2023-07-20 17:00:00,-31.82142857142837,SL
-1,0.07,1916.34,1879.3014285714285,2023-09-21 17:00:00,2023-09-29 13:00:00,258.78000000000026,SL
-1,0.06,1839.52,1832.052142857143,2023-10-02 09:00:00,2023-10-06 17:00:00,44.38714285714157,SL
1,0.05,1944.54,1962.37,2023-10-18 13:00:00,2023-10-23 01:00:00,88.79999999999964,SL(ギャップ)
1,0.04,1990.82,1984.9607142857142,2023-10-26 13:00:00,2023-10-31 16:00:00,-23.717142857143045,SL
1,0.06,1967.74,1971.0357142857142,2023-11-14 17:00:00,2023-11-20 13:00:00,19.35428571428527,SL
1,0.07,2026.29,2087.98,2023-11-28 17:00:00,2023-12-04 05:00:00,431.34000000000043,SL(ギャップ)
1,0.04,2043.35,2019.345714285714,2023-12-14 17:00:00,2023-12-15 17:00:00,-96.29714285714388,SL
1,0.06,2055.94,2066.477857142857,2023-12-22 13:00:00,2023-12-28 21:00:00,62.80714285714118,SL
1,0.05,2051.7599999999998,2032.1299999999999,2024-01-31 17:00:00,2024-01-31 21:00:00,-98.4999999999994,SL
-1,0.05,1995.62,2007.1764285714287,2024-02-13 17:00:00,2024-02-15 13:00:00,-58.13214285714398,SL
1,0.04,2101.02,2161.335,2024-03-04 17:00:00,2024-03-12 12:00:00,240.98000000000022,SL
1,0.04,2206.83,2352.464285714286,2024-03-28 16:00:00,2024-04-12 17:00:00,582.2571428571434,SL
1,0.04,2401.8199999999997,2410.4635714285714,2024-05-17 17:00:00,2024-05-20 13:00:00,34.294285714286815,SL
1,0.05,2383.39,2366.8557142857144,2024-07-05 17:00:00,2024-07-08 17:00:00,-83.02142857142744,SL
1,0.05,2406.9,2392.72,2024-07-11 17:00:00,2024-07-12 13:00:00,-71.25000000000145,SL
1,0.05,2442.69,2444.8964285714283,2024-07-16 13:00:00,2024-07-18 21:00:00,10.682142857141026,SL
1,0.03,2466.98,2433.267142857143,2024-08-02 09:00:00,2024-08-02 17:00:00,-101.34857142857113,SL
1,0.03,2469.91,2427.72,2024-08-02 17:00:00,2024-08-02 21:00:00,-126.78000000000016,SL(ギャップ)
1,0.03,2530.17,2501.4514285714286,2024-08-20 17:00:00,2024-08-21 13:00:00,-86.36571428571456,SL
1,0.04,2577.5099999999998,2560.054285714286,2024-09-13 17:00:00,2024-09-18 21:00:00,-70.10285714285536,SL
1,0.03,2606.5899999999997,2650.4199999999996,2024-09-20 13:00:00,2024-09-27 17:00:00,131.27999999999977,SL
1,0.04,2689.0299999999997,2723.127857142857,2024-10-17 17:00:00,2024-10-23 17:00:00,136.11142857142906,SL
-1,0.03,2554.93,2584.1557142857146,2024-11-14 09:00:00,2024-11-18 01:00:00,-87.88714285714418,SL
1,0.04,2672.75,2664.69,2025-01-09 17:00:00,2025-01-13 13:00:00,-32.51999999999978,SL
1,0.05,2708.04,2692.712857142857,2025-01-16 13:00:00,2025-01-20 01:00:00,-76.98571428571458,SL
1,0.04,2738.41,2753.557857142857,2025-01-21 17:00:00,2025-01-27 05:00:00,60.311428571427975,SL
1,0.05,2812.62,2791.161428571428,2025-01-31 17:00:00,2025-02-03 01:00:00,-107.64285714285879,SL
1,0.03,2829.14,2840.069285714286,2025-02-03 17:00:00,2025-02-06 17:00:00,32.57785714285777,SL
1,0.03,2888.71,2890.232857142857,2025-02-10 09:00:00,2025-02-11 13:00:00,4.3585714285709765,SL
1,0.03,2999.0,3018.5157142857142,2025-03-14 12:00:00,2025-03-21 12:00:00,58.337142857142716,SL
1,0.04,3078.02,3101.7392857142854,2025-03-28 08:00:00,2025-04-03 13:00:00,94.59714285714173,SL
1,0.01,3122.48,3291.5699999999997,2025-04-10 09:00:00,2025-04-17 17:00:00,169.0199999999997,SL
1,0.01,3385.83,3404.329285714285,2025-04-21 09:00:00,2025-04-22 17:00:00,18.42928571428518,SL
1,0.01,3391.96,3341.8235714285715,2025-05-06 17:00:00,2025-05-08 09:00:00,-50.206428571428496,SL
1,0.02,3351.72,3318.164285714286,2025-07-01 17:00:00,2025-07-03 13:00:00,-67.2514285714275,SL
1,0.03,3412.5699999999997,3391.5664285714283,2025-07-22 17:00:00,2025-07-23 17:00:00,-63.22071428571413,SL
1,0.04,3407.36,3517.1192857142855,2025-08-28 17:00:00,2025-09-04 05:00:00,438.7571428571416,SL
1,0.02,3594.73,3617.8207142857145,2025-09-05 17:00:00,2025-09-11 09:00:00,46.04142857142902,SL
1,0.03,3698.49,3667.6399999999994,2025-09-16 13:00:00,2025-09-17 09:00:00,-92.76000000000109,SL
1,0.02,3785.0499999999997,3744.0742857142855,2025-09-23 13:00:00,2025-09-24 17:00:00,-82.09142857142855,SL
1,0.02,3813.79,3804.6685714285713,2025-09-29 09:00:00,2025-09-30 09:00:00,-18.382857142857247,SL
1,0.02,3869.96,3798.58,2025-09-30 09:00:00,2025-09-30 13:00:00,-142.9000000000002,SL(ギャップ)
1,0.01,3889.19,3831.92,2025-10-01 13:00:00,2025-10-02 17:00:00,-57.33999999999999,SL
1,0.02,3932.7599999999998,3987.4164285714282,2025-10-06 09:00:00,2025-10-09 17:00:00,109.17285714285697,SL
1,0.01,4063.74,4255.662142857143,2025-10-13 09:00:00,2025-10-17 17:00:00,191.85214285714363,SL
