id,region,year,organization,category,title_ja,title_en,language,url,landing_url,doi,notes
jscva2025-chd-noncardiac-surgery,JP,2025,日本心臓血管麻酔学会 使用指針作成委員会,その他,先天性心疾患患者の非心臓手術における（麻酔管理）指針（2025年7月15日版）,JSCVA Guidance on Anesthetic Management of Patients with Congenital Heart Disease Undergoing Non-Cardiac Surgery (2025),ja,https://www.jscva.org/uploads/userfiles/files/%E5%85%88%E5%A4%A9%E6%80%A7%E5%BF%83%E7%96%BE%E6%82%A3%E6%82%A3%E8%80%85%E3%81%AE~%EF%BC%882025_7_15%E7%89%88%EF%BC%89.pdf,https://www.jscva.org/,,Exact title truncated in search index; URL literal (percent-encoded Japanese filename).
jcs2024-diversity,JP,2024,日本循環器学会 / 日本心臓病学会 / 日本心臓リハビリテーション学会 / 日本胸部外科学会,その他,2024年改訂版 多様性に配慮した循環器診療ガイドライン,"JCS/JCC/JACR/JATS 2024 Guideline on Cardiovascular Practice With Consideration for Diversity, Equity, and Inclusion",ja,https://www.j-circ.or.jp/cms/wp-content/uploads/2024/03/JCS2024_Tsukada_Tetsuo.pdf,https://www.j-circ.or.jp/jcs2024_tsukada_tetsuo_supple/,,"Listed on JSPCCS guideline page (covers pediatric/ACHD, pregnancy, transition). j-circ URL reported in search summary; errata literal: .../2024/03/JCS2024_Tsukada_Tetsuo_errata.pdf. English: Circ J 2025;89(5) CJ-23-0890."
jcs2021-cardiac-rehabilitation,JP,2021,日本循環器学会 / 日本心臓リハビリテーション学会 ほか,その他,2021年改訂版 心血管疾患におけるリハビリテーションに関するガイドライン,JCS/JACR 2021 Guideline on Rehabilitation in Patients With Cardiovascular Disease,ja,https://www.j-circ.or.jp/cms/wp-content/uploads/2021/03/JCS2021_Makita.pdf,https://www.j-circ.or.jp/guideline/guideline-series/,,班長 牧田茂. Includes pediatric/CHD rehabilitation section. URL literal from search index. Mirror: https://www.jacr.jp/cms/wp-content/uploads/2015/04/JCS2021_Makita2.pdf
jpic2024-catheter-indication,JP,2024,日本Pediatric Interventional Cardiology学会（JPIC）,カテーテル治療,2024年改訂版 先天性および小児期発症心疾患に対するカテーテル治療の適応ガイドライン,2024 Revised Guidelines for Indications of Catheter Interventions in Congenital and Pediatric-Onset Heart Disease (JPIC),ja,http://www.jpic-meeting.org/pdf/guideline_catheter-v2.pdf,http://www.jpic-meeting.org/,,Published 2025 (pp.1-80). URL literal from search index. Previous edition: http://www.jpic-meeting.org/pdf/guideline_catheter.pdf
jcs2021-catheter-chd-shd,JP,2021,日本循環器学会 合同研究班,カテーテル治療,2021年改訂版 先天性心疾患、心臓大血管の構造的疾患（structural heart disease）に対するカテーテル治療のガイドライン,JCS 2021 Guideline on Transcatheter Therapy for Congenital Heart Disease and Structural Heart Disease,ja,https://www.j-circ.or.jp/guideline/guideline-series/,https://www.j-circ.or.jp/guideline/guideline-series/,,Issued 2021-03-27. Direct PDF filename could not be located via search (expected under /cms/wp-content/uploads/2021/03/JCS2021_<chair>.pdf). Landing page only.
jspccs2020-cath-nursing-care,JP,2020,日本小児循環器学会（看護・ケア関連）,カテーテル治療,小児心臓カテーテル検査・治療後の安全・安楽のための看護ケアガイドライン,Nursing Care Guideline for Safety and Comfort after Pediatric Cardiac Catheterization,ja,https://jspccs.jp/wp-content/uploads/20230515_guideline_202002.pdf,https://jspccs.jp/publication/guideline/,,Filename suggests Feb 2020 version uploaded 2023-05-15. URL literal from search index.
jcs2014-catheter-chd-shd,JP,2014,日本循環器学会 / 日本小児循環器学会 / 日本Pediatric Interventional Cardiology学会 ほか,カテーテル治療,2014年版 先天性心疾患、心臓大血管の構造的疾患（structural heart disease）に対するカテーテル治療のガイドライン,Guidelines for Catheter Intervention in Congenital Heart Disease and Structural Heart Disease (JCS 2014),ja,https://plaza.umin.ac.jp/~jscvs/wordpress/wp-content/uploads/2020/06/JCS2014_nakanishi_h.pdf,https://jscvs.or.jp/guidelines/,,班長 中西敏雄. JSCVS mirror URL literal in search; j-circ original expected at /old/guideline/pdf/JCS2014_nakanishi_h.pdf. Superseded by 2021 edition.
jpic-catheter-indication-1st,JP,2012,日本Pediatric Interventional Cardiology学会（JPIC）,カテーテル治療,先天性および小児期発症心疾患に対するカテーテル治療の適応ガイドライン（初版）,"Guidelines for Indications of Catheter Interventions in Congenital and Pediatric-Onset Heart Disease (JPIC, 1st edition)",ja,http://www.jpic-meeting.org/pdf/guideline_catheter.pdf,http://www.jpic-meeting.org/,,Year uncertain (approx.); superseded by 2024 revision.
jcs2026-inherited-arrhythmia,JP,2026,日本循環器学会 / 日本不整脈心電学会 ほか,不整脈,2026年改訂版 遺伝性不整脈の診療に関するガイドライン,JCS/JHRS 2026 Guideline on Diagnosis and Management of Inherited Arrhythmias,ja,https://www.j-circ.or.jp/cms/wp-content/uploads/2026/03/JCS2026_Makiyama.pdf,https://www.j-circ.or.jp/guideline/guideline-series/,,班長 牧山武. URL literal from search index.
jcs2024-arrhythmia-fu-en,JP,2025,"Japanese Circulation Society / JHRS (Circulation Journal, J-STAGE)",不整脈,（英語版）2024年 JCS/JHRS ガイドライン フォーカスアップデート版 不整脈治療,JCS/JHRS 2024 Guideline Focused Update on Management of Cardiac Arrhythmias (Circ J 2025;89(7)),en,https://www.jstage.jst.go.jp/article/circj/advpub/0/advpub_CJ-24-0073/_pdf/-char/en,https://www.jstage.jst.go.jp/article/circj/89/7/89_CJ-24-0073/_html/-char/en,,URL literal from search index. DOI 10.1253/circj.CJ-24-0073.
jcs2024-arrhythmia-fu,JP,2024,日本循環器学会 / 日本不整脈心電学会,不整脈,2024年 JCS/JHRS ガイドライン フォーカスアップデート版 不整脈治療,JCS/JHRS 2024 Guideline Focused Update on Management of Cardiac Arrhythmias,ja,https://www.j-circ.or.jp/cms/wp-content/uploads/2024/03/JCS2024_Iwasaki.pdf,https://www.j-circ.or.jp/topics/202403glmovie/,,"班長 岩崎雄樹. URL literal from search index. English PDF: https://www.jstage.jst.go.jp/article/circj/advpub/0/advpub_CJ-24-0073/_pdf/-char/en (literal), PMC12168493."
jcs2022-arrhythmia-diagnosis-risk,JP,2022,日本循環器学会 / 日本不整脈心電学会,不整脈,2022年改訂版 不整脈の診断とリスク評価に関するガイドライン,JCS/JHRS 2022 Guideline on Diagnosis and Risk Assessment of Arrhythmia,ja,https://www.j-circ.or.jp/cms/wp-content/uploads/2022/03/JCS2022_Takase.pdf,https://www.j-circ.or.jp/guideline/guideline-series/,,"班長 高瀬凡平. Revises 2010 SCD-prediction guideline; covers school-age/pediatric risk. English: Circ J advpub CJ-22-0827 (https://www.jstage.jst.go.jp/article/circj/advpub/0/advpub_CJ-22-0827/_pdf/-char/en), PMC11317726."
jcs2021-nonpharm-arrhythmia-fu,JP,2021,日本循環器学会 / 日本不整脈心電学会,不整脈,2021年 JCS/JHRS ガイドライン フォーカスアップデート版 不整脈非薬物治療,JCS/JHRS 2021 Guideline Focused Update on Non-Pharmacotherapy of Cardiac Arrhythmias,ja,https://www.j-circ.or.jp/cms/wp-content/uploads/2021/03/JCS2021_Kurita_Nogami.pdf,https://www.j-circ.or.jp/guideline/guideline-series/,,URL literal from search index.
jcs2020-arrhythmia-pharmacotherapy,JP,2020,日本循環器学会 / 日本不整脈心電学会,不整脈,2020年改訂版 不整脈薬物治療ガイドライン,JCS/JHRS 2020 Guideline on Pharmacotherapy of Cardiac Arrhythmias,ja,https://www.j-circ.or.jp/cms/wp-content/uploads/2020/01/JCS2020_Ono.pdf,https://www.j-circ.or.jp/old/guideline/20200313_guideline.htm,,班長 小野克重. Includes pediatric arrhythmia pharmacotherapy chapter. English: J Arrhythm 2022 (PMC9745564).
jcs2018-nonpharm-arrhythmia,JP,2018,日本循環器学会 / 日本不整脈心電学会,不整脈,不整脈非薬物治療ガイドライン（2018年改訂版）,JCS/JHRS 2018 Guideline on Non-Pharmacotherapy of Cardiac Arrhythmias,ja,https://www.j-circ.or.jp/cms/wp-content/uploads/2018/07/JCS2018_kurita_nogami.pdf,https://www.j-circ.or.jp/guideline/guideline-series/,,班長 栗田隆志・野上昭彦. Includes pediatric/CHD device therapy sections. URL literal from search index.
