薬剤名(商品名),一般名,分類,本マニュアル内の用途,小児用量,最大量,投与経路,小児適応,適応外使用,主な注意・禁忌,出典,ステータス,最終確認日,関連疾患ページ
アデホス-Lコーワ注,アデノシン三リン酸二ナトリウム水和物(ATP),その他(頻拍停止),SVT発作停止(第一選択),0.1 mg/kg を心臓に近い静脈から急速静注+生食後押し。無効なら 0.2→0.3 mg/kg へ増量【要校閲】,1回上限【要校閲】,静注(急速),なし,⚠️適応外(効能・効果に頻拍性不整脈なし)【要校閲】,気管支喘息で気管支攣縮リスク。洞不全・房室ブロックで長い休止に注意。心電図記録・除細動器準備【要校閲】,日本小児循環器学会「小児不整脈の診断・治療ガイドライン」/アデホス添付文書,要校閲,2026-08-04,SVT_上室頻拍
ワソラン静注5mg,ベラパミル塩酸塩,Ca拮抗薬(Vaughan Williams IV群),SVT発作停止(年長児・第二選択),1回 0.1〜0.2 mg/kg を生食等で希釈し5分以上かけて静注(心電図・血圧監視下),1回 5 mg,静注(緩徐),あり(小児用法記載),なし,新生児・乳児は「生命に危険があり他の治療で効果がない場合」のみ。WPW合併頻拍では避ける【要校閲】,ワソラン静注 添付文書,校閲中,2026-08-04,SVT_上室頻拍
インデラル錠,プロプラノロール塩酸塩,β遮断薬(II群),SVT再発予防(第一選択)ほか小児不整脈,0.5〜2 mg/kg/日 分3〜4(低用量から開始)。効果不十分時 4 mg/kg/日まで増量可,90 mg/日,経口,あり(小児不整脈の用法・用量記載),なし,気管支喘息禁忌。乳児は低血糖に注意【要校閲】,インデラル 添付文書,校閲中,2026-08-04,SVT_上室頻拍
タンボコール錠,フレカイニド酢酸塩,Ic群抗不整脈薬,SVT再発予防(難治例),6か月以上: 50〜100 mg/m²/日 分2〜3。6か月未満: 50 mg/m²/日から開始,200 mg/m²/日,経口,あり(小児の頻脈性不整脈),なし,器質的心疾患例では催不整脈作用に注意【要校閲】,タンボコール 添付文書,校閲中,2026-08-04,SVT_上室頻拍
ラシックス(フロセミド),フロセミド,ループ利尿薬,VSD等の心不全・容量負荷の利尿(第一選択),小児 1〜4 mg/kg/日 連日又は隔日【要校閲: 静注用量】,添付文書参照,経口/静注,あり(小児用法記載),なし,電解質異常(低K・低Na)・脱水・聴器毒性に注意,フロセミド 添付文書,校閲中,2026-08-04,VSD_心室中隔欠損
アルダクトンA(スピロノラクトン),スピロノラクトン,K保持性利尿薬(MR拮抗),VSD等の心不全・利尿(併用・低K予防),小児用量【要校閲】,添付文書参照,経口,添付文書要確認,要確認,高K血症・腎機能低下で注意。フロセミドと併用,スピロノラクトン 添付文書,要校閲,2026-08-04,VSD_心室中隔欠損
レニベース(エナラプリル),エナラプリルマレイン酸塩,ACE阻害薬,VSD等の後負荷軽減(左→右短絡減少),少量から開始・漸増【要校閲: 小児用量】,添付文書参照,経口,⚠️小児は適応外(適応外使用の審査事例あり),⚠️適応外,初回低血圧・高K・腎機能低下・空咳。妊娠禁忌,エナラプリル(レニベース)添付文書,要校閲,2026-08-04,VSD_心室中隔欠損
ジゴキシン,ジゴキシン,強心配糖体,心不全の強心(補助),血中濃度をみて調整【要校閲: 小児用量】,添付文書参照,経口/静注,あり,なし,治療域が狭い→血中濃度モニタ。低K・腎機能で中毒。顕性WPWでは避ける,ジゴキシン 添付文書,要校閲,2026-08-04,VSD_心室中隔欠損/CHF_慢性心不全/AHF_急性心不全
ドパミン,ドパミン塩酸塩,カテコラミン,急性心不全の強心/昇圧,低用量=利尿・中等量=強心・高用量=昇圧(γで調整)【要校閲: 小児γ】,添付文書参照,持続静注,添付文書要確認,要確認,高用量で末梢虚血・不整脈。血管外漏出に注意,ドパミン 添付文書,要校閲,2026-08-04,AHF_急性心不全
ドブタミン,ドブタミン塩酸塩,カテコラミン(β刺激),急性心不全の強心(血管拡張を伴う),γで調整【要校閲: 小児γ】,添付文書参照,持続静注,添付文書要確認,要確認,頻脈・不整脈に注意。HOCMでは注意,ドブタミン 添付文書,要校閲,2026-08-04,AHF_急性心不全
ミルリノン,ミルリノン,PDE III阻害薬,急性心不全の強心+血管拡張,ローディング後に持続維持【要校閲: 小児用量】,添付文書参照,静注(ローディング+持続),添付文書要確認,要確認,低血圧・不整脈・腎機能に注意,ミルリノン 添付文書,要校閲,2026-08-04,AHF_急性心不全
アドレナリン,アドレナリン,カテコラミン,ショック・低心拍出の昇圧/強心,γで調整【要校閲: 小児γ】,添付文書参照,持続静注,あり,なし,末梢虚血・不整脈・高血糖に注意,アドレナリン 添付文書,要校閲,2026-08-04,AHF_急性心不全
ハンプ(カルペリチド),カルペリチド(hANP),心房性ナトリウム利尿ペプチド,急性心不全の血管拡張・利尿,成人用量【要校閲】,添付文書参照,持続静注,⚠️小児は適応外,⚠️適応外,低血圧に注意。溶解・配合変化に注意,カルペリチド(ハンプ)添付文書,要校閲,2026-08-04,AHF_急性心不全
カルベジロール,カルベジロール,α/β遮断薬,慢性心不全のリモデリング抑制,安定期に少量から緩徐に漸増【要校閲: 小児漸増法】,添付文書参照,経口,⚠️小児は適応外,⚠️適応外,急性増悪時は開始しない。気管支喘息・高度徐脈に注意,カルベジロール 添付文書,要校閲,2026-08-04,CHF_慢性心不全
